Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","014","Eastern Africa","2001","2001","23014","Food price inflation","7001","January","%","7.63275","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2001","2001","23014","Food price inflation","7002","February","%","7.375871","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2001","2001","23014","Food price inflation","7003","March","%","5.7398","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2001","2001","23014","Food price inflation","7004","April","%","4.719326","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2001","2001","23014","Food price inflation","7005","May","%","3.834591","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2001","2001","23014","Food price inflation","7006","June","%","2.946503","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2001","2001","23014","Food price inflation","7007","July","%","2.011593","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2001","2001","23014","Food price inflation","7008","August","%","1.657676","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2001","2001","23014","Food price inflation","7009","September","%","1.308962","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2001","2001","23014","Food price inflation","7010","October","%","1.186247","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2001","2001","23014","Food price inflation","7011","November","%","0.80277","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2001","2001","23014","Food price inflation","7012","December","%","1.88069","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2002","2002","23014","Food price inflation","7001","January","%","0.937559","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2002","2002","23014","Food price inflation","7002","February","%","1.142031","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2002","2002","23014","Food price inflation","7003","March","%","1.580116","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2002","2002","23014","Food price inflation","7004","April","%","2.788327","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2002","2002","23014","Food price inflation","7005","May","%","3.969702","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2002","2002","23014","Food price inflation","7006","June","%","5.147092","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2002","2002","23014","Food price inflation","7007","July","%","6.034593","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2002","2002","23014","Food price inflation","7008","August","%","6.931267","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2002","2002","23014","Food price inflation","7009","September","%","8.148491","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2002","2002","23014","Food price inflation","7010","October","%","8.717366","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2002","2002","23014","Food price inflation","7011","November","%","9.360185","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2002","2002","23014","Food price inflation","7012","December","%","9.946982","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2003","2003","23014","Food price inflation","7001","January","%","10.842407","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2003","2003","23014","Food price inflation","7002","February","%","11.030415","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2003","2003","23014","Food price inflation","7003","March","%","12.053409","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2003","2003","23014","Food price inflation","7004","April","%","12.559558","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2003","2003","23014","Food price inflation","7005","May","%","13.669143","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2003","2003","23014","Food price inflation","7006","June","%","13.209465","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2003","2003","23014","Food price inflation","7007","July","%","12.026803","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2003","2003","23014","Food price inflation","7008","August","%","11.05861","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2003","2003","23014","Food price inflation","7009","September","%","10.101948","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2003","2003","23014","Food price inflation","7010","October","%","10.140007","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2003","2003","23014","Food price inflation","7011","November","%","9.198496","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2003","2003","23014","Food price inflation","7012","December","%","8.412326","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2004","2004","23014","Food price inflation","7001","January","%","7.921855","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2004","2004","23014","Food price inflation","7002","February","%","7.704513","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2004","2004","23014","Food price inflation","7003","March","%","7.728882","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2004","2004","23014","Food price inflation","7004","April","%","7.680567","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2004","2004","23014","Food price inflation","7005","May","%","6.999429","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2004","2004","23014","Food price inflation","7006","June","%","7.065324","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2004","2004","23014","Food price inflation","7007","July","%","8.404953","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2004","2004","23014","Food price inflation","7008","August","%","11.738853","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2004","2004","23014","Food price inflation","7009","September","%","13.169744","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2004","2004","23014","Food price inflation","7010","October","%","13.821718","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2004","2004","23014","Food price inflation","7011","November","%","14.245042","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2004","2004","23014","Food price inflation","7012","December","%","14.235105","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2005","2005","23014","Food price inflation","7001","January","%","14.160724","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2005","2005","23014","Food price inflation","7002","February","%","14.093805","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2005","2005","23014","Food price inflation","7003","March","%","14.07311","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2005","2005","23014","Food price inflation","7004","April","%","14.592975","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2005","2005","23014","Food price inflation","7005","May","%","13.823049","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2005","2005","23014","Food price inflation","7006","June","%","13.366917","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2005","2005","23014","Food price inflation","7007","July","%","13.283823","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2005","2005","23014","Food price inflation","7008","August","%","10.572568","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2005","2005","23014","Food price inflation","7009","September","%","9.256744","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2005","2005","23014","Food price inflation","7010","October","%","7.791785","E","Estimated value",""
"CP","Consumer Price Indices","014","Eastern Africa","2005","2005","23014","Food price inflation","7011","November","%","7.668204","E","Estimated value",""
