Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","001","World","2001","2001","23014","Food price inflation","7001","January","%","2.825103","E","Estimated value",""
"CP","Consumer Price Indices","001","World","2001","2001","23014","Food price inflation","7002","February","%","2.696208","E","Estimated value",""
"CP","Consumer Price Indices","001","World","2001","2001","23014","Food price inflation","7003","March","%","3.277283","E","Estimated value",""
"CP","Consumer Price Indices","001","World","2001","2001","23014","Food price inflation","7004","April","%","3.777572","E","Estimated value",""
"CP","Consumer Price Indices","001","World","2001","2001","23014","Food price inflation","7005","May","%","4.166243","E","Estimated value",""
"CP","Consumer Price Indices","001","World","2001","2001","23014","Food price inflation","7006","June","%","4.294038","E","Estimated value",""
"CP","Consumer Price Indices","001","World","2001","2001","23014","Food price inflation","7007","July","%","3.989214","E","Estimated value",""
"CP","Consumer Price Indices","001","World","2001","2001","23014","Food price inflation","7008","August","%","3.82244","E","Estimated value",""
"CP","Consumer Price Indices","001","World","2001","2001","23014","Food price inflation","7009","September","%","3.653884","E","Estimated value",""
"CP","Consumer Price Indices","001","World","2001","2001","23014","Food price inflation","7010","October","%","3.931047","E","Estimated value",""
"CP","Consumer Price Indices","001","World","2001","2001","23014","Food price inflation","7011","November","%","3.516302","E","Estimated value",""
"CP","Consumer Price Indices","001","World","2001","2001","23014","Food price inflation","7012","December","%","3.20307","E","Estimated value",""
"CP","Consumer Price Indices","001","World","2002","2002","23014","Food price inflation","7001","January","%","3.320341","E","Estimated value",""
"CP","Consumer Price Indices","001","World","2002","2002","23014","Food price inflation","7002","February","%","3.277164","E","Estimated value",""
"CP","Consumer Price Indices","001","World","2002","2002","23014","Food price inflation","7003","March","%","2.935657","E","Estimated value",""
"CP","Consumer Price Indices","001","World","2002","2002","23014","Food price inflation","7004","April","%","2.686892","E","Estimated value",""
"CP","Consumer Price Indices","001","World","2002","2002","23014","Food price inflation","7005","May","%","1.954802","E","Estimated value",""
"CP","Consumer Price Indices","001","World","2002","2002","23014","Food price inflation","7006","June","%","1.680868","E","Estimated value",""
"CP","Consumer Price Indices","001","World","2002","2002","23014","Food price inflation","7007","July","%","1.651192","E","Estimated value",""
"CP","Consumer Price Indices","001","World","2002","2002","23014","Food price inflation","7008","August","%","1.648941","E","Estimated value",""
"CP","Consumer Price Indices","001","World","2002","2002","23014","Food price inflation","7009","September","%","1.86085","E","Estimated value",""
"CP","Consumer Price Indices","001","World","2002","2002","23014","Food price inflation","7010","October","%","1.403576","E","Estimated value",""
"CP","Consumer Price Indices","001","World","2002","2002","23014","Food price inflation","7011","November","%","2.122421","E","Estimated value",""
"CP","Consumer Price Indices","001","World","2002","2002","23014","Food price inflation","7012","December","%","2.176901","E","Estimated value",""
"CP","Consumer Price Indices","001","World","2003","2003","23014","Food price inflation","7001","January","%","1.764657","E","Estimated value",""
"CP","Consumer Price Indices","001","World","2003","2003","23014","Food price inflation","7002","February","%","2.137547","E","Estimated value",""
"CP","Consumer Price Indices","001","World","2003","2003","23014","Food price inflation","7003","March","%","2.406376","E","Estimated value",""
"CP","Consumer Price Indices","001","World","2003","2003","23014","Food price inflation","7004","April","%","2.329622","E","Estimated value",""
"CP","Consumer Price Indices","001","World","2003","2003","23014","Food price inflation","7005","May","%","2.482236","E","Estimated value",""
"CP","Consumer Price Indices","001","World","2003","2003","23014","Food price inflation","7006","June","%","2.768374","E","Estimated value",""
